Puzzle,Category,Date,Episode_Number,Round
ANYTHING IS POSSIBLE,Phrase,9/16/13,#5851,T1
READY FREDDY,Rhyme Time,9/16/13,#5851,T2
COMING THROUGH WITH FLYING COLORS,What Are You Doing?,9/16/13,#5851,R1
STICKY SITUATION COMEDY,Before & After,9/16/13,#5851,R2
FLOATING DOWN A LAZY RIVER,Fun & Games,9/16/13,#5851,R3*
THEATER BALCONY,Place,9/16/13,#5851,T3
A REAL SHOWSTOPPER,Thing,9/16/13,#5851,R4
BACK IN THE DAY,Phrase,9/16/13,#5851,BR
ROLL THE DICE,Phrase,9/17/13,#5852,T1
ROCK OF AGES,Title,9/17/13,#5852,T2
CORNER CURIO CABINET,Thing,9/17/13,#5852,R1
OUTER SPACE HEATER,Before & After,9/17/13,#5852,R2
DIVING NEAR CORAL REEFS,Fun & Games,9/17/13,#5852,R3*
THE OPPOSING TEAM,People,9/17/13,#5852,T3
ROMANTIC GONDOLA RIDE,Event,9/17/13,#5852,R4
FLUFFY PILLOWS,Around the House,9/17/13,#5852,R5
PREVIOUS OCCUPANT,Person,9/17/13,#5852,BR
LUXURY SUITES,Places,9/18/13,#5853,T1
COOKED TO ORDER,Phrase,9/18/13,#5853,T2
OUTSTANDING DRAMA SERIES,Show Biz,9/18/13,#5853,R1
MEMBERS-ONLY CLUB SANDWICH,Before & After,9/18/13,#5853,R2
AN ENGINEERING MARVEL,Thing,9/18/13,#5853,R3*
EXPRESSING MYSELF,What Are You Doing?,9/18/13,#5853,T3
ROARING MOUNTAIN LIONS,Living Things,9/18/13,#5853,R4
WALL SAFE,Thing,9/18/13,#5853,BR
SIDEWALK CAFE,Place,9/19/13,#5854,T1
WORTH EVERY PENNY,Phrase,9/19/13,#5854,T2
SEARCHING THE SKY FOR CONSTELLATIONS,Fun & Games,9/19/13,#5854,R1
MONOPOLY MONEY CAN'T BUY ME LOVE,Before & After,9/19/13,#5854,R2
DINING BY MOONLIGHT,What Are You Doing?,9/19/13,#5854,R3*
LOOSEY-GOOSEY,Rhyme Time,9/19/13,#5854,T3
FRIENDLY COMPETITION,Thing,9/19/13,#5854,R4
ALWAYS IN DEMAND,Phrase,9/19/13,#5854,BR
SPIN TO WIN,Rhyme Time,9/20/13,#5855,T1
MAN OF STEEL,Movie Title,9/20/13,#5855,T2
LET'S TAKE IT TO THE NEXT LEVEL,Phrase,9/20/13,#5855,R1
SEWING AND SLOT MACHINE,Same Name,9/20/13,#5855,R2
AUTHENTIC MARIACHI BAND,People,9/20/13,#5855,R3*
CHAMPION RACEHORSE,Living Thing,9/20/13,#5855,T3
A TELEVISION EVENT,Show Biz,9/20/13,#5855,R4
FANCY BOUTIQUE,Place,9/20/13,#5855,BR
FOR HOTEL GUESTS ONLY,Phrase,9/23/13,#5856,T1
SUMMER CAMP,Place,9/23/13,#5856,T2
WILLIAM AND KATE WELCOME BABY BOY,Headline,9/23/13,#5856,R1
BOWLING ALLEY CAT,Before & After,9/23/13,#5856,R2
FISHING ON THE HIGH SEAS,Fun & Games,9/23/13,#5856,R3*
SIGNATURE COCKTAILS,Food & Drink,9/23/13,#5856,T3
RANDOM ACT OF KINDNESS,Thing,9/23/13,#5856,R4
OVERHEAD PROJECTOR,Thing,9/23/13,#5856,BR
A TASTE OF ITALY,Phrase,9/24/13,#5857,T1
THE BEST NEVER REST,Rhyme Time,9/24/13,#5857,T2
PAPA'S GOT A BRAND NEW BAG,Song Title,9/24/13,#5857,R1
JEDI MASTER BEDROOM,Before & After,9/24/13,#5857,R2
GLIMMERING TURQUOISE WATER,Thing,9/24/13,#5857,R3*
MEADOWLARK,Living Thing,9/24/13,#5857,T3
FULL-LENGTH WALL MIRROR,Around the House,9/24/13,#5857,R4
STOCKY BUILD,Thing,9/24/13,#5857,BR
I LOVE THE NIGHTLIFE,Song Lyrics,9/25/13,#5858,T1
CHERRY BLOSSOMS,Living Things,9/25/13,#5858,T2
COMMERCIAL ARCHITECT,Occupation,9/25/13,#5858,R1
POKER & POTATO CHIPS,Same Name,9/25/13,#5858,R2
SIT BACK AND ENJOY THE FLIGHT,Phrase,9/25/13,#5858,R3*
SNACK PACK,Rhyme Time,9/25/13,#5858,T3
COMPUTER SOFTWARE,Thing,9/25/13,#5858,R4
A STROKE OF GENIUS,Phrase,9/25/13,#5858,BR
POSING FOR A PICTURE,What Are You Doing?,9/26/13,#5859,T1
QUICK DECISION,Thing,9/26/13,#5859,T2
CASUAL DINING RESTAURANT,Place,9/26/13,#5859,R1
COMBINATION LOCK OF HAIR,Before & After,9/26/13,#5859,R2
AWESOME HELICOPTER TOUR,Event,9/26/13,#5859,R3*
INTERNET RADIO,Show Biz,9/26/13,#5859,T3
THE GREATEST OF ALL TIME,Phrase,9/26/13,#5859,R4
HOUSEHOLD BUDGET,Thing,9/26/13,#5859,BR
POOLSIDE CABANA,Place,9/27/13,#5860,T1
MYSTIC HIGHWAY,Song Title,9/27/13,#5860,T2
CARTOON CHARACTER WITNESS,Before & After,9/27/13,#5860,R1
BRAD PITT STARS IN WORLD WAR Z,Show Biz,9/27/13,#5860,R2
I COULD USE SOME HELP PACKING,Phrase,9/27/13,#5860,R3*
MOUNTAIN CLIMBER,Person,9/27/13,#5860,T3
MAKING A TRIPLE PLAY,What Are You Doing?,9/27/13,#5860,R4
BEHIND SCHEDULE,Phrase,9/27/13,#5860,BR
THE FIRST DAY OF SCHOOL,Event,9/30/13,#5861,T1
MYTHS AND LEGENDS,Things,9/30/13,#5861,T2
IS THIS GOING TO BE ON THE TEST?,Phrase,9/30/13,#5861,R1
CALCULUS CHEMISTRY CIVICS,Same Letter,9/30/13,#5861,R2
LOOKING FOR ADVENTURE,What Are You Doing?,9/30/13,#5861,R3*
SCENTED CANDLES,Around the House,9/30/13,#5861,T3
THE CHRONICLES OF NARNIA,Title,9/30/13,#5861,R4
SECRET ADMIRER,Person,9/30/13,#5861,R5
PAISLEY DESIGN,Thing,9/30/13,#5861,BR
GRADING EXAMS,What Are You Doing?,10/1/13,#5862,T1
SLIM AND TRIM,Rhyme Time,10/1/13,#5862,T2
FACULTY LOUNGE SINGER,Before & After,10/1/13,#5862,R1
RAISE YOUR HAND IF YOU KNOW THE ANSWER,Phrase,10/1/13,#5862,R2
PACIFIC ISLAND PARADISE,Place,10/1/13,#5862,R3*
MR. HOLLAND'S OPUS,Movie Title,10/1/13,#5862,T3
LOOSE-LEAF NOTEBOOK,Thing,10/1/13,#5862,R4
COLOR-SAFE BLEACH,Around the House,10/1/13,#5862,R5
